,Name,Total Pop,White Pop,Black Pop,Household Type,Computer,State,County,Tract,Block Group
4336,"Block Group 2, Census Tract 103.14, Hampton city, Virginia",1674,612,571,619,1645,51,650,010314,2
4337,"Block Group 1, Census Tract 103.13, Hampton city, Virginia",1521,770,653,982,1463,51,650,010313,1
4338,"Block Group 2, Census Tract 103.11, Hampton city, Virginia",2485,1720,659,1060,2403,51,650,010311,2
4339,"Block Group 1, Census Tract 103.12, Hampton city, Virginia",1588,566,883,598,1588,51,650,010312,1
4340,"Block Group 3, Census Tract 805, Carroll County, Virginia",848,0,848,413,739,51,035,080500,3
4341,"Block Group 4, Census Tract 805, Carroll County, Virginia",1637,4,1633,597,1506,51,035,080500,4
4342,"Block Group 3, Census Tract 2.02, Charlottesville city, Virginia",1773,69,1412,290,1070,51,540,000202,3
4343,"Block Group 2, Census Tract 101.02, Radford city, Virginia",1275,80,1108,288,1181,51,750,010102,2
4344,"Block Group 2, Census Tract 1038, Arlington County, Virginia",881,130,497,418,844,51,013,103800,2
4345,"Block Group 2, Census Tract 9015.08, Prince William County, Virginia",2940,628,1734,804,2940,51,153,901508,2
4346,"Block Group 2, Census Tract 9015.06, Prince William County, Virginia",2367,346,1535,623,2341,51,153,901506,2
4347,"Block Group 1, Census Tract 9801, Portsmouth city, Virginia",686,168,346,0,0,51,740,980100,1
4348,"Block Group 2, Census Tract 311.01, Roanoke County, Virginia",1843,138,1486,875,1496,51,161,031101,2
4349,"Block Group 2, Census Tract 312.02, Roanoke County, Virginia",1472,0,1437,599,1420,51,161,031202,2
4350,"Block Group 1, Census Tract 1035.02, Arlington County, Virginia",3807,530,2226,2355,3708,51,013,103502,1
4351,"Block Group 1, Census Tract 1036.02, Arlington County, Virginia",542,10,392,309,542,51,013,103602,1
4352,"Block Group 4, Census Tract 9510, Middlesex County, Virginia",947,233,643,264,649,51,119,951000,4
4353,"Block Group 1, Census Tract 9014.17, Prince William County, Virginia",1802,99,1580,550,1726,51,153,901417,1
4354,"Block Group 1, Census Tract 9013.04, Prince William County, Virginia",1780,52,1550,570,1704,51,153,901304,1
4355,"Block Group 2, Census Tract 319.01, Newport News city, Virginia",1693,110,1493,647,1693,51,700,031901,2
4356,"Block Group 1, Census Tract 1001, Gloucester County, Virginia",2821,126,2674,1163,2658,51,073,100100,1
4357,"Block Group 4, Census Tract 216.01, Chesapeake city, Virginia",982,0,820,303,954,51,550,021601,4
4358,"Block Group 2, Census Tract 8304, Colonial Heights city, Virginia",671,102,569,304,634,51,570,830400,2
4359,"Block Group 3, Census Tract 8301, Colonial Heights city, Virginia",943,108,746,299,906,51,570,830100,3
4360,"Block Group 1, Census Tract 8302, Colonial Heights city, Virginia",2131,468,1297,950,1831,51,570,830200,1
4361,"Block Group 3, Census Tract 1025, Arlington County, Virginia",1467,50,1323,508,1467,51,013,102500,3
4362,"Block Group 1, Census Tract 9012.19, Prince William County, Virginia",2230,329,1746,645,2230,51,153,901219,1
4363,"Block Group 2, Census Tract 101, Clarke County, Virginia",1234,0,1212,472,1122,51,043,010100,2
4364,"Block Group 3, Census Tract 101, Clarke County, Virginia",1820,13,1721,666,1729,51,043,010100,3
4365,"Block Group 1, Census Tract 102, Clarke County, Virginia",1836,95,1636,660,1774,51,043,010200,1
4366,"Block Group 1, Census Tract 103, Clarke County, Virginia",1729,142,1565,689,1688,51,043,010300,1
4367,"Block Group 1, Census Tract 206, Franklin County, Virginia",2586,409,2079,574,1266,51,067,020600,1
4368,"Block Group 2, Census Tract 207, Franklin County, Virginia",1239,14,1224,500,938,51,067,020700,2
4369,"Block Group 3, Census Tract 4001, Goochland County, Virginia",2070,66,1941,876,1987,51,075,400100,3
4370,"Block Group 2, Census Tract 4205.03, Fairfax County, Virginia",1875,504,951,763,1859,51,059,420503,2
4371,"Block Group 2, Census Tract 400, Virginia Beach city, Virginia",1362,208,816,349,1362,51,810,040000,2
4372,"Block Group 2, Census Tract 1002.03, Gloucester County, Virginia",1158,50,1108,582,1032,51,073,100203,2
4373,"Block Group 5, Census Tract 101, Westmoreland County, Virginia",850,444,383,343,794,51,193,010100,5
4374,"Block Group 1, Census Tract 601.02, Grayson County, Virginia",1087,0,1071,514,932,51,077,060102,1
4375,"Block Group 3, Census Tract 602.02, Grayson County, Virginia",612,0,612,249,596,51,077,060202,3
4376,"Block Group 2, Census Tract 504.01, Wythe County, Virginia",1575,43,1508,686,1406,51,197,050401,2
4377,"Block Group 5, Census Tract 503.01, Wythe County, Virginia",494,68,426,222,474,51,197,050301,5
4378,"Block Group 2, Census Tract 503.01, Wythe County, Virginia",1556,26,1439,588,1415,51,197,050301,2
4379,"Block Group 4, Census Tract 504.02, Wythe County, Virginia",2010,0,2010,613,1867,51,197,050402,4
4380,"Block Group 1, Census Tract 9301.02, Buckingham County, Virginia",946,492,419,409,793,51,029,930102,1
4381,"Block Group 3, Census Tract 9302.02, Buckingham County, Virginia",1413,0,1413,553,1326,51,029,930202,3
